Subscription Opened Ts,Is Free Trial At Signup,Subscription Closed Ts,Is Customer Initiated Cancel,Signup Plan Category,Signup Max Concurrent Streams,Signup Max Streaming Quality,Plan Change Date,Plan Change Old Category,Plan Change Old Max Concurrent Streams,Plan Change Old Max Streaming Quality,Plan Change New Category,Plan Change New Max Concurrent Streams,Plan Change New Max Streaming Quality,Cancellation Reason
2023-07-10 18:33:58.305+0000,0,,,STREAMING ONLY,2,HD,,,,,,,,
2022-12-25 07:15:05.705+0000,0,2023-01-25 03:20:24.056,1,STREAMING ONLY,2,HD,,,,,,,,CUSTOMER_REQUEST
2022-08-23 14:01:33.279+0000,0,2022-09-23 02:39:00.825,1,STREAMING ONLY,2,HD,,,,,,,,CUSTOMER_REQUEST
2022-04-12 12:25:08.942+0000,0,2022-05-12 02:05:00.038,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2021-12-24 10:49:48.724+0000,0,2022-02-24 03:36:47.825,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2021-08-26 17:52:05.116+0000,0,2021-10-26 02:19:33.571,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2021-04-18 07:49:33.308+0000,0,2021-06-18 02:11:57.500,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2020-11-10 15:19:44.000+0000,0,2021-02-10 03:20:15.573,1,STREAMING ONLY,2,HD,20201110,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,VOL_CUSTOMER
2020-11-10 15:19:44.000+0000,0,2021-02-10 03:20:15.573,1,STREAMING ONLY,2,HD,20201210,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,VOL_CUSTOMER
2020-06-05 12:43:15.265+0000,0,2020-07-05 01:11:26.827,1,STREAMING ONLY,4,UHD,,,,,,,,VOL_CUSTOMER
2019-11-18 10:17:22.189+0000,0,2020-04-18 01:44:17.909,1,STREAMING ONLY,4,UHD,,,,,,,,VOL_CUSTOMER
2019-10-17 12:33:19.255+0000,0,2019-11-17 02:29:19.108,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2019-08-06 19:22:04.293+0000,0,2019-10-06 01:35:47.429,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2019-07-06 13:38:54.840+0000,0,2019-08-06 01:28:32.286,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2019-03-11 22:47:48.871+0000,0,2019-05-11 01:40:53.396,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2018-12-15 12:45:04.839+0000,0,2019-02-16 03:07:59.988,1,STREAMING ONLY,2,HD,,,,,,,,VOL_CUSTOMER
2018-08-01 14:30:26.953+0000,0,2018-11-01 01:41:08.431,1,STREAMING ONLY,2,HD,,,,,,,,
2018-05-09 16:58:37.562+0000,0,2018-07-09 01:49:13.573,0,STREAMING ONLY,2,HD,,,,,,,,
2017-08-02 17:41:26.620+0000,0,2018-03-02 02:18:53.361,1,STREAMING ONLY,2,HD,,,,,,,,
2017-02-08 19:30:15.389+0000,1,2017-06-11 01:07:04.640,1,STREAMING ONLY,1,HD720p,,,,,,,,
