Question Name,Question Current Txt,Answer Name,Answer Current Text,Answer Response Text,Locale Code,Event Utc Date
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20230121
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Competitors,Switching to other service(s),,ro-RO,20220914
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20220503
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20220129
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20210929
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20210523
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,ro-RO,20210523
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,ro-RO,20210523
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,ro-RO,20210202
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-RO,20200628
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Competitors,Switching to other service(s),,en-RO,20200628
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Other,Other (please specify),LGBT policy,en-RO,20200628
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,en-RO,20200628
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,en-RO,20190728
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-RO,20190728
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Price,Netflix is too expensive,,en-RO,20190728
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,en-RO,20190214
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-RO,20190214
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),No time,Didn't have enough time to use Netflix,,en-RO,20190120
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-RO,20190120
